,Emplace 10,,,Emplace 100,,,Emplace 1000,,,Emplace 10000,,,Emplace 100000,,,Emplace 10 move_only,,,Emplace 100 move_only,,,Emplace 1000 move_only,,,Emplace 10000 move_only,,,Emplace 100000 move_only,,,Insert End,,,Insert Mid,,,Insert Beg,,,Insert memmove End,,,Insert memmove Mid,,,Insert memmove Beg,
,std,htk,,std,htk,,std,htk,,std,htk,,std,htk,,std,htk,,std,htk,,std,htk,,std,htk,,std,htk,,std,htk,,std,htk,,std,htk,,std,htk,,std,htk,,std,htk
10,5160,3450,10,3250,1840,10,10590,7200,10,42480,39540,10,905670,641050,10,890,190,10,2240,1330,10,7660,6100,10,111490,70190,10,928350,1149180,10,1550,2430,10,760,2400,10,600,2350,10,10190,1400,10,810,570,10,600,470
100,2162,263,100,3047,1340,100,8887,4844,100,34008,41866,100,1040272.4,646580,100,693,152,100,1691,1154,100,7107,5675,100,91612,71579,100,906661.94,832829.81,100,558,2391,100,447,2211,100,476,2452,100,1953,733,100,464,427,100,393,389
1000,2391.5,287.39999,1000,2317.3999,2162.8999,1000,8514.7998,4819.2002,1000,34556.602,47009.699,1000,1320367.3,639705.25,1000,661.40002,154,1000,2941.6001,1045.3,1000,6811.8999,6427.7998,1000,67914.531,54241.602,1000,922989.31,837699.75,1000,551.20001,2337.8999,1000,458.5,2472,1000,497.60001,2335.5,1000,962.20001,749.40002,1000,459,440.79999,1000,424.39999,406.60001
10000,2022.05,181.05,10000,2976.3899,1567.16,10000,7919.9775,6415,10000,34009.125,43976.035,10000,1038972.5,629505.5,10000,706.59998,167.14999,10000,2068.9399,1016.99,10000,8003.2944,6709.7598,10000,68302.68,54712.371,10000,951927.5,832853.56,10000,473.10999,2434.7,10000,493.41,2389.3601,10000,485.41,2448.27,10000,737.04999,568.78003,10000,491.53,480.51001,10000,449.31,465.54999
100000,997.82178,203.67999,100000,2866.2397,1686.2573,100000,6635.104,6321.6689,100000,34710.898,49663.93,100000,639656.56,618322.75,100000,677.66656,181.455,100000,1938.2211,1269.5588,100000,7418.7305,6589.4189,100000,68835.211,55071.129,100000,962667.56,828338.69,100000,464.909,2437.5115,100000,506.939,2427.7283,100000,465.90701,2426.9385,100000,697.33789,507.19699,100000,517.422,504.54199,100000,480.13501,455.578
