name,iterations,total,mean,median,min,max,s-dev,ci (95%)
std::find vector<int>(10), 10, 53300, 160, 200, 100, 200, 48.979588, 30.357864 
std::find vector<int>(10), 100, 215600, 127, 100, 0, 300, 50.695168, 9.9362526 
std::find vector<int>(10), 1000, 2074400, 132.60001, 100, 0, 400, 51.925243, 3.2183599 
std::find vector<int>(10), 10000, 17185200, 112.5, 100, 0, 2600, 52.368916, 1.0264307 
std::find vector<int>(10), 100000, 222212400, 249.341, 100, 0, 7126800, 25773.818, 159.74779 
std::find vector<int>(100), 10, 97100, 170, 200, 100, 300, 64.02343, 39.682133 
std::find vector<int>(100), 100, 690300, 170, 200, 100, 300, 47.947887, 9.3977861 
std::find vector<int>(100), 1000, 7222800, 176.3, 200, 100, 5500, 177.72897, 11.015756 
std::find vector<int>(100), 10000, 76129600, 247.10001, 200, 0, 542700, 5450.7363, 106.83443 
std::find vector<int>(100), 100000, 767889100, 195.60201, 200, 0, 400500, 1690.3579, 10.476947 
std::find vector<int>(1000), 10, 357400, 260, 300, 100, 500, 101.97549, 63.205063 
std::find vector<int>(1000), 100, 4704800, 232, 200, 100, 600, 100.87121, 19.770758 
std::find vector<int>(1000), 1000, 37961000, 209.39999, 200, 100, 7900, 264.06497, 16.366917 
std::find vector<int>(1000), 10000, 448996500, 222.86, 200, 0, 36200, 514.36011, 10.081458 
std::find vector<int>(1000), 100000, 3072765200, 205.812, 200, 0, 1140300, 4112.4238, 25.489067 
std::find vector<int>(10000), 10, 3854700, 250, 300, 100, 400, 80.616379, 49.966549 
std::find vector<int>(10000), 100, 33458900, 255, 200, 100, 800, 118.63389, 23.252243 
std::find vector<int>(10000), 1000, 279765700, 234.3, 200, 0, 3400, 166.58974, 10.325339 
std::find vector<int>(10000), 10000, 2004528300, 176.98, 200, 0, 17300, 325.20108, 6.3739414 
std::find vector<int>(10000), 100000, 18990768300, 171.916, 100, 0, 115800, 573.85217, 3.5567727 
std::find vector<int>(100000), 10, 27037000, 340, 300, 200, 800, 174.35309, 108.06516 
std::find vector<int>(100000), 100, 240765700, 236, 200, 100, 800, 107.25204, 21.0214 
std::find vector<int>(100000), 1000, 2233535400, 261.89999, 200, 100, 17400, 552.01215, 34.214069 
std::find vector<int>(100000), 10000, 21556910100, 284.07001, 200, 100, 186500, 1944.3676, 38.109604 
std::find vector<int>(100000), 100000, 214963706200, 266.47198, 200, 0, 144700, 738.65967, 4.5782599 
std::find vector<int>(1000000), 10, 244115000, 470, 500, 300, 700, 109.99545, 68.175888 
std::find vector<int>(1000000), 100, 2452407600, 464, 400, 200, 900, 143.18869, 28.064983 
std::find vector<int>(1000000), 1000, 24704808300, 498.60001, 400, 200, 17700, 704.31464, 43.653873 
std::find vector<int>(1000000), 10000, 245815693100, 534.34003, 500, 200, 93700, 1251.9485, 24.538191 
std::find vector<int>(1000000), 100000, 2473242156900, 513.40002, 500, 200, 76600, 698.33661, 4.3283353 
std::binary_search vector<int>(10), 10, 20300, 110, 100, 100, 200, 29.983328, 18.58386 
std::binary_search vector<int>(10), 100, 138400, 95, 100, 0, 200, 35.693138, 6.9958553 
std::binary_search vector<int>(10), 1000, 1383600, 116, 100, 0, 17000, 535.52014, 33.191883 
std::binary_search vector<int>(10), 10000, 11180700, 93.82, 100, 0, 15900, 162.96645, 3.1941423 
std::binary_search vector<int>(10), 100000, 118495000, 96.202003, 100, 0, 57800, 337.68777, 2.0930107 
std::binary_search vector<int>(100), 10, 70000, 110, 100, 100, 200, 29.983328, 18.58386 
std::binary_search vector<int>(100), 100, 659100, 118, 100, 100, 200, 38.405727, 7.5275226 
std::binary_search vector<int>(100), 1000, 6254100, 123.1, 100, 0, 1800, 67.64106, 4.1924362 
std::binary_search vector<int>(100), 10000, 63874500, 132.08, 100, 0, 20300, 390.36768, 7.6512065 
std::binary_search vector<int>(100), 100000, 639179000, 129.22701, 100, 0, 22200, 338.3898, 2.0973618 
std::binary_search vector<int>(1000), 10, 603300, 170, 200, 100, 200, 45.814846, 28.396336 
std::binary_search vector<int>(1000), 100, 6049000, 151, 100, 100, 300, 53.833076, 10.551283 
std::binary_search vector<int>(1000), 1000, 59509800, 147.2, 100, 100, 500, 59.254818, 3.6726518 
std::binary_search vector<int>(1000), 10000, 596526500, 157.71001, 100, 0, 36200, 549.72284, 10.774568 
std::binary_search vector<int>(1000), 100000, 6089273800, 163.582, 100, 0, 133900, 761.87335, 4.7221398 
std::binary_search vector<int>(10000), 10, 5760400, 240, 200, 100, 400, 119.99583, 74.374191 
std::binary_search vector<int>(10000), 100, 52381000, 196, 200, 100, 600, 77.349854, 15.160572 
std::binary_search vector<int>(10000), 1000, 522278900, 194.10001, 200, 100, 600, 69.958443, 4.3360691 
std::binary_search vector<int>(10000), 10000, 5240391200, 207.83, 200, 100, 39000, 538.01154, 10.545027 
std::binary_search vector<int>(10000), 100000, 52230400100, 206.146, 200, 0, 35600, 451.20157, 2.7965763 
std::binary_search vector<int>(100000), 10, 53105100, 330, 300, 200, 500, 78.096092, 48.404461 
std::binary_search vector<int>(100000), 100, 544044700, 355, 300, 200, 1000, 141.68274, 27.769817 
std::binary_search vector<int>(100000), 1000, 5366619800, 404.89999, 300, 100, 20500, 744.15314, 46.123089 
std::binary_search vector<int>(100000), 10000, 53755094300, 396.51999, 300, 100, 42700, 629.82825, 12.344634 
std::binary_search vector<int>(100000), 100000, 541750526100, 409.685, 300, 100, 153600, 913.1499, 5.6597619 
std::binary_search vector<int>(1000000), 10, 568255300, 1310, 1400, 700, 2200, 480.5195, 297.82907 
std::binary_search vector<int>(1000000), 100, 5706699500, 1343, 1300, 500, 18300, 1759.1053, 344.78467 
std::binary_search vector<int>(1000000), 1000, 56949048600, 1315.8, 1200, 400, 21800, 1367.3521, 84.749359 
std::binary_search vector<int>(1000000), 10000, 571191611800, 1292.59, 1300, 400, 92100, 1568.8528, 30.749516 
