name,iterations,total,mean,median,min,max,s-dev,ci (95%)
vector<int> emplace 10,10,37900,2800,1500,1300,13400,3578.8264,5010.3574
vector<int> emplace 10,100,254800,1870,1700,1300,5000,624.09857,873.73804
vector<int> emplace 10,1000,1519900,1172.7,900,800,4800,486.194,680.67163
vector<int> emplace 10,10000,20273500,1688.92,1600,800,47400,1011.8851,1416.6392
vector<int> emplace 10,100000,169918100,1430.9342,1300,600,1127100,6558.6899,9182.167
htk::vector<int> emplace 10,10,19800,1200,300,200,9400,2733.4958,3826.8943
htk::vector<int> emplace 10,100,58800,254,200,200,800,79.265381,110.97153
htk::vector<int> emplace 10,1000,496000,256.29999,300,200,900,59.324139,83.053795
htk::vector<int> emplace 10,10000,5725900,288.95001,300,100,10600,278.13168,389.38437
htk::vector<int> emplace 10,100000,54239800,276.47198,200,100,700400,2643.7063,3701.189
vector<int> emplace 100,10,58100,5140,4400,4000,11900,2274.7305,3184.6228
vector<int> emplace 100,100,416900,3728,3500,3100,20500,1737.7598,2432.8638
vector<int> emplace 100,1000,4013000,3490.8999,3400,2600,61800,1930.627,2702.8779
vector<int> emplace 100,10000,33719700,3094.8601,2700,1400,896800,11153.933,15615.506
vector<int> emplace 100,100000,323069100,2833.8684,2500,1300,4888100,25086.439,35121.016
htk::vector<int> emplace 100,10,25800,1970,1500,1300,6600,1546.6412,2165.2979
htk::vector<int> emplace 100,100,205600,1600,1400,1200,4400,477.4924,668.48938
htk::vector<int> emplace 100,1000,2392200,1771.5,1400,1200,56200,2555.4548,3577.637
htk::vector<int> emplace 100,10000,17498100,1493.99,1300,900,190000,2585.9333,3620.3069
htk::vector<int> emplace 100,100000,152998800,1316.2579,1000,800,426100,3198.0249,4477.2349
vector<int> emplace 1000,10,203500,12270,9100,7700,33400,7737.4482,10832.429
vector<int> emplace 1000,100,900500,8500,8600,6700,20400,1353.5135,1894.9191
vector<int> emplace 1000,1000,7823300,7402.1001,6300,5000,92300,5279.4194,7391.1875
