name,iterations,total,mean,median,min,max,s-dev,ci (95%)
vector<int> emplace 1000,10000,61567400,5923.48,4700,4100,663600,11670.093,16338.13
vector<int> emplace 1000,100000,585058800,5598.0024,4700,4000,1106500,9563.4199,13388.788
htk::vector<int> emplace 1000,10,74500,6840,5100,4800,22900,5356.1548,7498.6172
htk::vector<int> emplace 1000,100,718200,6828,4900,4700,57000,6726.814,9417.54
htk::vector<int> emplace 1000,1000,7883300,7223.6001,4900,4700,689600,23475.105,32865.152
htk::vector<int> emplace 1000,10000,66929600,6455.5,4800,4300,1352000,19169.533,26837.348
htk::vector<int> emplace 1000,100000,836521300,8080.3721,7000,4200,12481000,76321.945,106850.73
vector<int> emplace 10000,10,692000,68290,54000,49400,198300,43692.043,61168.863
vector<int> emplace 10000,100,5233400,51861,51300,47100,70900,2997.8625,4197.0073
vector<int> emplace 10000,1000,50437200,49879.699,49800,32900,551000,24504.463,34306.25
vector<int> emplace 10000,10000,345717900,34214.93,32200,28400,465800,10846.722,15185.411
vector<int> emplace 10000,100000,3473310600,34345.551,32400,27900,1368900,15671.814,21940.541
htk::vector<int> emplace 10000,10,459900,45200,48500,35800,62600,9875.9307,13826.304
htk::vector<int> emplace 10000,100,5436700,52339,46500,35600,155400,20769.73,29077.625
htk::vector<int> emplace 10000,1000,43019700,42586.301,37200,35500,374400,17757.822,24860.953
htk::vector<int> emplace 10000,10000,402551700,39860.629,35700,35300,732200,16522.277,23131.189
htk::vector<int> emplace 10000,100000,4079269400,40364,36700,35300,1243900,16988.295,23783.613
vector<int> emplace 100000,10,11435400,1082870,1112000,838400,1189200,108290.2,151606.3
vector<int> emplace 100000,100,113490800,1073129.3,1067200,818300,1589600,139622.56,195471.59
vector<int> emplace 100000,1000,873885700,807765,664500,506600,2170300,308677.56,432148.63
vector<int> emplace 100000,10000,7035083200,635561.19,554400,492100,3044600,182905.44,256067.63
vector<int> emplace 100000,100000,69883709200,635170.5,554200,481800,7402200,185867.53,260214.56
htk::vector<int> emplace 100000,10,8703000,795810,728400,589000,1462200,251002.23,351403.13
htk::vector<int> emplace 100000,100,77182400,702694.06,607000,550100,1753500,195187.61,273262.66
htk::vector<int> emplace 100000,1000,718850600,647449.5,592000,547200,1426400,133572.78,187001.91
htk::vector<int> emplace 100000,10000,7085917800,638580.06,579600,547500,2851700,145975.03,204365.05
htk::vector<int> emplace 100000,100000,71330972200,644030.56,581500,546900,10161200,154196.77,215875.47
vector<int> insert-end 1000,10,232600,1130,500,400,6700,1857.9825,2601.1755
vector<int> insert-end 1000,100,2101100,470,500,400,600,59.152348,82.813293
vector<int> insert-end 1000,1000,23134900,549.40002,500,400,3900,256.43393,359.00751
vector<int> insert-end 1000,10000,224305900,452.67001,400,300,37500,590.69739,826.97638
vector<int> insert-end 1000,100000,2316407200,460.05701,400,300,114500,588.27063,823.57892
htk::vector<int> insert-end 1000-1000,10,253100,2280,2300,2100,2700,166.12947,232.58127
htk::vector<int> insert-end 1000-1000,100,2840400,2507,2200,2100,28800,2652.7451,3713.8433
htk::vector<int> insert-end 1000-1000,1000,25854700,2338,2200,2000,19800,1047.902,1467.0627
htk::vector<int> insert-end 1000-1000,10000,264205300,2397.3301,2200,2000,196800,2525.4236,3535.5933
htk::vector<int> insert-end 1000-1000,100000,2704493000,2449.3062,2200,2000,372200,2857.1509,4000.0115
vector<int> insert-begin 1000-1000,10,215600,560,600,300,1000,200.99503,281.39304
vector<int> insert-begin 1000-1000,100,2113600,394,400,300,700,54.433445,76.206825
vector<int> insert-begin 1000-1000,1000,21223100,423,400,300,18000,579.73785,811.63306
vector<int> insert-begin 1000-1000,10000,228149600,463.26999,400,300,17800,412.13715,576.992
vector<int> insert-begin 1000-1000,100000,2269278400,458.93399,400,300,236300,1100.7426,1541.0397
htk::vector<int> insert-begin 1000-1000,10,285900,3670,2400,2100,15900,4079.7178,5711.605
htk::vector<int> insert-begin 1000-1000,100,2407000,2164,2200,2100,2600,79.391434,111.14801
htk::vector<int> insert-begin 1000-1000,1000,26236800,2361.2,2200,2100,28400,1387.6226,1942.6716
htk::vector<int> insert-begin 1000-1000,10000,274281400,2470.2,2200,2000,344800,3634.9243,5088.894
htk::vector<int> insert-begin 1000-1000,100000,2744215700,2464.7185,2200,2000,286200,2381.7256,3334.4158
vector<int> insert-mid 1000-1000,10,245800,680,700,400,1200,252.18842,353.06378
vector<int> insert-mid 1000-1000,100,2347700,469,500,400,1000,87.965904,123.15228
vector<int> insert-mid 1000-1000,1000,24289500,502.60001,500,400,11000,375.7012,525.98169
vector<int> insert-mid 1000-1000,10000,255767000,536.31,500,300,180500,1958.6838,2742.1575
vector<int> insert-mid 1000-1000,100000,2549643400,520.15302,500,300,108800,731.81274,1024.5378
htk::vector<int> insert-mid 1000-1000,10,272800,2330,2400,2100,2500,126.88184,177.63457
htk::vector<int> insert-mid 1000-1000,100,2750000,2320,2200,2000,18000,1577.3392,2208.2749
htk::vector<int> insert-mid 1000-1000,1000,28087300,2277,2200,2100,19600,817.02936,1143.8412
htk::vector<int> insert-mid 1000-1000,10000,308167400,2632.02,2300,2000,466900,5920.0703,8288.0986
htk::vector<int> insert-mid 1000-1000,100000,2977742200,2462.3081,2200,2000,402000,2491.9434,3488.7209
