name,iterations,total,mean,median,min,max,s-dev,ci (95%),,,,,,,,,,
std::binary_search vector<int>(1000000),1000,58951435500,1216.5,1200,400,4100,454.06821,28.14344,,,,,,,,,,
std::binary_search vector<int>(1000000),10000,5.84173E+11,1237.27,1200,400,34800,883.63678,17.319281,,,,,,,,,,
std::binary_search vector<int>(1000000),100000,5.84383E+12,1244.3021,1200,300,451400,2037.775,12.63026,,,,,,,,,,
htk::binary_search vector<int>(10),10,19200,120,100,100,200,39.987499,24.78451,,,,,,,,,,
htk::binary_search vector<int>(10),100,130500,100,100,0,200,24.474476,4.7969975,,,,,,,,,,
htk::binary_search vector<int>(10),1000,1130800,101.7,100,0,200,28.391886,1.7597474,,,,,,,,,,
htk::binary_search vector<int>(10),10000,13929300,117.18,100,0,23200,360.11032,7.0581622,,,,,,,,,,
htk::binary_search vector<int>(10),100000,121511800,105.947,100,0,27000,252.18317,1.5630475,,,,,,,,,,
htk::binary_search vector<int>(100),10,71300,140,100,100,200,48.979588,30.357864,,,,,,,,,,
htk::binary_search vector<int>(100),100,662400,146,100,100,300,51.797684,10.152347,,,,,,,,,,
htk::binary_search vector<int>(100),1000,6252800,132.3,100,0,400,49.655701,3.0776923,,,,,,,,,,
htk::binary_search vector<int>(100),10000,73869300,153.72,100,0,17900,214.14224,4.1971879,,,,,,,,,,
htk::binary_search vector<int>(100),100000,660740200,141.006,100,0,103600,400.98123,2.4853075,,,,,,,,,,
htk::binary_search vector<int>(1000),10,561700,140,100,100,200,48.979588,30.357864,,,,,,,,,,
htk::binary_search vector<int>(1000),100,5577900,129,100,0,300,49.57822,9.7173309,,,,,,,,,,
htk::binary_search vector<int>(1000),1000,57272800,147.60001,100,0,16800,529.41003,32.813175,,,,,,,,,,
htk::binary_search vector<int>(1000),10000,603689000,171.31,100,0,249800,2504.2104,49.082527,,,,,,,,,,
htk::binary_search vector<int>(1000),100000,6224215300,157.263,100,0,446500,1450.0334,8.987401,,,,,,,,,,
htk::binary_search vector<int>(10000),10,5127500,120,100,100,200,39.987499,24.78451,,,,,,,,,,
htk::binary_search vector<int>(10000),100,50894700,152,100,100,300,62.409935,12.232347,,,,,,,,,,
