name,iterations,total,mean,median,min,max,s-dev,ci (95%)
htk::binary_search vector<int>(100), 10, 71400, 130, 100, 100, 200, 45.814846, 28.396336 
htk::binary_search vector<int>(100), 100, 645800, 131, 100, 100, 300, 48.352871, 9.4771633 
htk::binary_search vector<int>(100), 1000, 9486900, 244.3, 200, 0, 33600, 1265.8442, 78.45784 
htk::binary_search vector<int>(100), 10000, 64472100, 135.81, 100, 0, 13600, 262.3989, 5.1430182 
htk::binary_search vector<int>(100), 100000, 713395300, 148.647, 100, 0, 175500, 623.80963, 3.8664122 
htk::binary_search vector<int>(1000), 10, 698900, 410, 200, 0, 2000, 541.20142, 335.44012 
htk::binary_search vector<int>(1000), 100, 8561100, 214, 200, 100, 600, 93.824303, 18.389565 
htk::binary_search vector<int>(1000), 1000, 62504200, 152, 100, 0, 600, 64.923035, 4.0239716 
htk::binary_search vector<int>(1000), 10000, 616879300, 161.06, 100, 0, 97400, 1022.991, 20.050625 
htk::binary_search vector<int>(1000), 100000, 6386167300, 161.983, 100, 0, 393200, 1300.5668, 8.0609961 
htk::binary_search vector<int>(10000), 10, 5173400, 180, 200, 100, 300, 59.991665, 37.18322 
htk::binary_search vector<int>(10000), 100, 52224200, 179, 200, 100, 500, 89.766365, 17.594208 
htk::binary_search vector<int>(10000), 1000, 557918000, 248.39999, 200, 100, 34400, 1193.7529, 73.989578 
htk::binary_search vector<int>(10000), 10000, 5783255000, 228.94, 200, 0, 75000, 827.19922, 16.213104 
htk::binary_search vector<int>(10000), 100000, 59716888000, 272.16, 200, 0, 1940400, 6266.2705, 38.838749 
htk::binary_search vector<int>(100000), 10, 98049500, 950, 1000, 500, 1300, 265.51648, 164.56882 
htk::binary_search vector<int>(100000), 100, 812088600, 1152, 700, 200, 25700, 2554.3862, 500.6597 
htk::binary_search vector<int>(100000), 1000, 6881378400, 761.79999, 500, 100, 80500, 2649.1826, 164.19804 
htk::binary_search vector<int>(100000), 10000, 61861190300, 729.31, 400, 100, 598800, 6755.6279, 132.41031 
htk::binary_search vector<int>(100000), 100000, 588566974500, 622.40997, 300, 100, 4878700, 17589.82, 109.02283 
std::sort vector<int>(10), 10, 31300, 250, 200, 200, 400, 67.074585, 41.573257 
std::sort vector<int>(10), 100, 150700, 329, 200, 100, 13700, 1344.7151, 263.56415 
std::sort vector<int>(10), 1000, 1107700, 214.10001, 200, 100, 17700, 685.10327, 42.463142 
std::sort vector<int>(10), 10000, 10767600, 185.7, 200, 100, 15900, 263.72165, 5.1689444 
std::sort vector<int>(10), 100000, 117756300, 196.478, 200, 100, 42400, 346.26459, 2.1461701 
std::sort vector<int>(100), 10, 68800, 3100, 3000, 2900, 3600, 204.93657, 127.021 
std::sort vector<int>(100), 100, 627400, 3241, 2900, 2500, 20500, 2353.5989, 461.30539 
